Parametry projektu;ELTEP - tispl - [vseok_TT120.tispl]
Požadované celkové množství;20000
Poèet pracovních dní [rok];365
Poèet pracovních hodin [den];8
Efektivita [%];95
Zaèátek výroby;18.01.2018 8:00:00
Délka vozíku;1

Pøehled pohonù;
ID;Název;Rychlost od [m/min];Rychlost do [m/min];Rozteè palcù [mm];
1;Navržený pohon 1;0,00833333333333333;0,00833333333333333;0;

Pøehled objektù a jejich nastavených parametrù u zakázky:;Nová zakázka
ID;Název;Zkratka;Režim;CT [s];Kapacita doporuèená;Kapacita nastavená;Název dopravníku;Rychlost dopravníku [m/min];Rozsah dopravníku [m/min];Rozteè palcù [mm];Délka dopravníku [m]
1;navìšování;NAV;STOP & GO;120;1;1;Navržený pohon 1;nerelevantní;0,5-0,5;0;nerelevantní
2;CO2;CO2;KONTINUÁLNÍ;120;1;1;Navržený pohon 1;0,00833333333333333;0,5-0,5;0;1
3;lakování;LAK;KONTINUÁLNÍ;120;1;1;Navržený pohon 1;0,00833333333333333;0,5-0,5;0;1
4;sušení;SUŠ;POSTPROCESNÍ;1200;10;1;Navržený pohon 1;nerelevantní;0,5-0,5;0;10
5;chlazení;CHL;POSTPROCESNÍ;1200;10;1;Navržený pohon 1;nerelevantní;0,5-0,5;0;10


